标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
《大学物理·全》7小时速成【期末不挂科】（配套讲义+考点题库与答案解析）,1,3,[],188,85,http://www.bilibili.com/video/av237817253
大学物理《光学》 期末不挂科速成（快速入门）,1,3,[],4,8,http://www.bilibili.com/video/av1554411206
大学物理《振动学》期末不挂科速成课（快速入门）,0,2,[],2,4,http://www.bilibili.com/video/av1004343893
大学物理B上  中北,22,22,[],335,192,http://www.bilibili.com/video/av940494229
《大学物理-电磁学》4小时快速突击|期末不挂科必备【蜂考】,1764,382,[],13252,11156,http://www.bilibili.com/video/av45366991
《大学物理》期末速成课-7小时学完【不挂科】（赠送讲义+考点题库与答案解析）《大物》,1482,413,[],8957,5064,http://www.bilibili.com/video/av469855410
一张图搞定大学物理,35,31,[],723,520,http://www.bilibili.com/video/av97687962
【热学】1小时速成课|大学物理热学期末不挂科,84,134,[],6378,3619,http://www.bilibili.com/video/av203063213
【大学物理】还在担心大学物理学不会？快进来看物理学知识梳理吧！,0,7,[],114,67,http://www.bilibili.com/video/av1703361509
大学物理（力学）知识梳理与例题选讲：§06 刚体力学,2188,499,[],5531,5341,http://www.bilibili.com/video/av8749292
【大学物理—气体与热力学】2小时不挂|大物—热学,647,302,[],10860,8389,http://www.bilibili.com/video/av934264759
《物理化学》合集（下册）——天津大学第六版,4014,196,[],13075,5811,http://www.bilibili.com/video/av733433909
大学物理头疼？一个视频带你串讲大物（上）所有知识点！听完期末80+,7,16,[],496,242,http://www.bilibili.com/video/av616997680
《大学物理》,1,2,[],57,20,http://www.bilibili.com/video/av424768064
大学物理（电磁学）知识梳理与例题选讲：§01 静电学基础（1）,2672,468,[],4266,4599,http://www.bilibili.com/video/av9841554
